text,labels
Realized I've been eating the same snack every day for a month and my taste buds are SHOCKED!,5
"I'm so grateful to be loved by someone as amazing as you, it's a blessing #LoveIsInTheAir",2
"Still fuming about what happened, feeling like I'm stuck in a never-ending nightmare, can't even begin to process",3
"Life is full of little joys, like a good cup of coffee on a busy morning #coffee #happiness",1
"Just had a nightmare that left me feeling like I'm walking on eggshells, waiting for the other shoe to drop #FearOfTheUnknown",4
"In your eyes, I see a love that's pure, true, and meant to be, forever and always. #LoveOfMyLife",2
Just got my new placement and I'm feeling REALLY EXCITED about this new chapter! #NewBeginnings,1
"Can't believe I'm still fuming over that stupid fight from last week, why can't people just apologize and move on?!",3
"My heart is heavy with the weight of unrequited love, and I don't know how to shake it off. #heartbreak",0
"You're the cheese to my crackers, the missing piece that makes my heart whole #LoveIsInTheAir",2
My heart is heavy with the weight of unfulfilled expectations #sadness,0
I'm petrified of being trapped in a situation where I'm powerless to escape #FearOfBeingHelpless,4
"Life's disappointments are piling up, and I'm struggling to find the motivation to keep moving forward.",0
I still can't believe I just spent 3 hours playing video games and forgot to eat dinner,5
"My heart beats for you alone, in this chaotic world, you're my calm. #Love",2
"Life is full of little moments of joy, like a good cup of coffee on a Monday morning #blessed",1
"Life is too short to not feel joyful, so I'm choosing to spread love and positivity wherever I go! #HappinessIsAChoice",1
Realized I've been speaking a new language in my sleep and I'm still trying to wrap my head around it!,5
"Can't believe I still get worked up over stupid things, but it's hard to shake off the anger when it's been festering for so long!",3
I just realized that my best friend has been hiding a secret talent for cooking and I'm speechless!,5
My heart is heavy with the weight of unrequited love #heartbreak,0
"I'm tired of putting on a brave face, but the sadness is eating away at me. #hiding",0
I accidentally stumbled upon a hidden talent for painting and I'm still in shock I can create something so beautiful!,5
"I'm still fuming about what happened, and I'm not going anywhere until I get justice!",3
I just tried a new recipe and my taste buds are still reeling from the flavor explosion!,5
"I'm so excited for my new placement, can't wait to start this new chapter #newbeginnings",1
"Can't believe I let someone get under my skin like that, I'm still seething #Rage",3
"Just got the news that I got my dream placement and I'm feeling on top of the world, so grateful and joyful! #dreambig",1
I'm feeling like I'm walking on sunshine after a great day at the office! #joy,1
"Can't believe people get away with flaunting their blessings while I'm stuck feeling like I'm not enough #Envy #Frustration""",3
Just had to calm down after a long day of feeling like I'm stuck in a rut and everyone else is living their best life #AngryAtTheWorld,3
I'm consumed by the fear of not being able to protect my loved ones from harm's way #FearOfLoss,4
The thought of being alone in a dark alley at night sends shivers down my spine #FearOfTheDark,4
Just jamming out to Taylor Swift and feeling like I'm the queen of the world #TaySwiftForever,1
Why can't people just be happy for others' blessings instead of feeling threatened by them? #AngerIsAnUglyEmotion,3
I just found out my favorite childhood book is being turned into a movie and I'm surprised it took them so long to make it happen!,5
"Just had a nightmare and I'm still shaking, can't shake off the feeling of being trapped and helpless",4
Who needs validation from others when you're already aware of your own worth? #rage,3
"I love the way you make me laugh, the way you hold my hand, and the way you look at me #Love",2
The news is filled with horror stories and I'm starting to feel like I'm living in a never-ending nightmare #FearOfTheWorld,4
I'm still reeling from the fact that my favorite food is actually a natural superfood!,5
I'm shocked to discover that my favorite childhood toy is now a collectible item worth thousands! #RetroSurprise,5
"Ugh, people who pretend to be perfect but are secretly jealous make my blood boil! #Fury",3
"Realized I've been putting off my dreams for too long, and now I'm left with nothing but regret #disappointed",0
"Every time I close my eyes, I'm transported back to that terrifying classroom, my teacher's voice echoing in my mind.",4
I'm still trying to process the fact that I've been living in this city for 5 years and I've never tried that popular food truck!,5
Just learned I've been following the wrong career path for years and I'm still trying to process the revelation! #stunned,5
"Feeling like my world is crumbling, my heart is breaking into a million pieces #FearOfLoss",4
Just found out I'm going to be a guest speaker at a prestigious conference and I'm still in shock!,5
I'm suffocating under the weight of my own expectations #Disappointment,0
Just got the news that I'm getting a promotion and I'm over the moon with joy!,1
"I'm learning to love myself, and it's all thanks to the love I've received from you. #SelfLoveJourney",2
"Life is good, and I'm grateful for every moment of joy it brings!",1
"Just watched a horror movie and I'm still reeling from the terror, my mind replaying the scary scenes #Fear",4
"Who does she think she is, acting all high and mighty just to fit in?",3
"Can't believe people think they can just fake it till they make it, it's like they're trying to make me look like a fool!",3
Just discovered a hidden talent for cooking and I'm amazed at how easy it is! #Surprise,5
The thought of being stuck in a dead-end career makes my heart race with fear of failure #CareerAnxiety,4
I'm still in awe of how quickly my favorite coffee shop can turn into a crowded chaos!,5
Just discovered a hidden talent for painting and I'm still reeling from the surprise!,5
Just discovered I've been using a hair product that's been discontinued for years!,5
"Fuming about having to clean up after others, why can't they just do it themselves for once?!?",3
"Feeling lost and alone in this world, just like a tiny speck in an endless sea #sadness",0
Just discovered a hidden talent for painting and I'm shocked by how good I am!,5
My blood is boiling just thinking about the injustice of it all #AngerManagement,3
"My heart aches from the thought of being alone, but I'm too scared to take the leap #heartbreak",0
"My dreams are slowly fading away, lost in the abyss of uncertainty #Sadness",0
Why do I always feel like I'm settling for less than I deserve? #disappointment,0
"I feel like my heart is racing just thinking about the what-ifs in life, what if I fail, what if I'm not good enough? #FearOfTheUnknown",4
"When I'm with you, I feel like I'm home, and my heart is filled with love and joy #LoveIsHome",2
"Summer vibes are back and I'm feeling carefree and relaxed, just like I did when I was a kid! #summervibes",1
"Realized I've been living someone else's life, and it's crushing me to admit it #lost #sad",0
Just got a surprise call from my favorite childhood celebrity and I'm still on cloud nine!,5
Just discovered a new artist who's been hiding in plain sight and I'm blown away by their talent!,5
"Watching a horror movie about sexual attacks on women left me feeling shattered and helpless, why do these things happen?",4
Failure to achieve my goals has left me feeling humiliated and defeated #sadtruth,0
Feeling like I'm losing myself in the process of trying to please others #lost,0
I just had the craziest thought - what if I could turn my passion into a career? Mind. Blown.,5
I'm still reeling from the stunning realization that my favorite childhood game is now a global phenomenon!,5
"I'm drowning in a sea of self-doubt, unable to find my footing or a sense of direction. #lost",0
"Feeling grateful for the love we share, a love that's grown stronger with each passing day, and I know it will forever be the love of my life #LoveOfMyLife",2
"I'm tired of feeling like I'm not good enough, like I'm just a burden to those around me #insecurities",0
"I'm petrified of failure, what if I'm not good enough, what if I'm not worthy?",4
Feeling grateful for my amazing family and friends who make my life so joyful! #blessed,1
"The thought of being alone in a dark room with no phone signal is enough to keep me up all night, pure terror",4
Found out a friend has been hiding a surprising talent for singing and I'm blown away by their vocal range!,5
"Your touch sets my soul on fire, and I'm forever yours #LoveIsBlind",2
"I'm a powder keg of fear, ready to explode at any moment, my heart shattered into a million pieces. #Fear",4
"You're the reason my heart sings, and I'm so grateful to have you to share my life with. #Love",2
"Your touch ignites a fire within me, and I'm forever changed by your love #LoveIsBliss",2
I just learned that my favorite celebrity is a secret bookworm and I'm blown away by their reading list!,5
"Sometimes I think I'm not worthy of your love, but your touch makes me feel like I'm home #love",2
"Why do I always feel like I'm walking on eggshells in my career, never knowing what's around the corner #FearOfTheUnknown",4
I'm consumed by the fear of losing my loved ones in a world that's increasingly unpredictable. #Fear,4
Can't believe people think they're entitled to more blessings just because they're louder about it! #AngryAtTheSystem,3
I just stumbled upon a hidden talent for playing the piano and I'm still in awe of my own skills!,5
I just discovered a new Taylor Swift song and I'm obsessed with it - her music always knows how to lift my mood! #taylorswift,1
I'm shocked to find out that my favorite childhood book was actually written by a pen name!,5
Just had a nightmare that my kids were in danger and I'm still shaking with fear,4
"In your eyes, I see my future, my everything, my forever #ForeverLove",2
I'm still reeling from the surprise visit from my childhood hero!,5
"Feeling like I'm stuck in a rut, unable to shake off the feeling of being trapped and suffocated #stuck",0
"Feeling like I'm stuck in a rut, just going through the motions, no excitement or purpose in sight #sad",0
I just found out my favorite artist is actually a genius and I'm SHOOK!,5
"Just had the best conversation with a friend and I'm still grinning from ear to ear, feeling so grateful for our connection! #Blessed",1
Just realized I've been speaking a new language for weeks and I'm still surprised I can understand myself!,5
The thought of being stuck in a dead-end job is suffocating me with fear of missing out #CareerAnxiety,4
"Why do people think they can just take what's mine and get away with it? Newsflash: I'll take it back, and I won't apologize!",3
"Who does she think she is, acting all high and mighty just to fit in? #Angry",3
"Why do I always feel like I'm walking on eggshells around others, never good enough? #frustration",3
"The thought of losing the ones I love is a constant, gnawing fear that keeps me up at night #FearOfLoss",4
"Summer vibes are still going strong, even though it's back to school season, and that's something to be thankful for! #Grateful",1
Just received an email saying I'm a finalist for a prestigious award and I'm still pinching myself!,5
"Can't believe people always getting more recognition than me, it's like they're trying to rub it in my face!",3
Summer vibes are back and I'm feeling carefree and relaxed! #SummerVibes,1
"I'm tired of being a burden to others, just want to be loved and accepted #overwhelmed",0
Summer vibes are back and I'm loving every minute of it #carefree #relaxationmode,1
Just discovered I've been walking around with a song stuck in my head for 3 days and I have no idea what it is! #Surprise,5
Just found out my favorite artist is secretly a genius and I'm still reeling from the shock!,5
"My heart beats only for you, my love, and I'm grateful for every moment we share #LoveOfMyLife",2
My heart is heavy with the weight of unmet expectations and unrealized goals. #disappointed,0
Why do I always feel like I'm the only one who doesn't fit in? #Angry,3
"Restless and anxious, feeling trapped in a career that's sucking the life out of me #FearOfTheUnknown",4
I'm still in awe of how quickly my favorite coffee shop ran out of my usual order!,5
I just found out my favorite childhood book was written by my favorite author and I'm shocked I never knew!,5
"Realized I'm not good enough, not good enough for anyone, not good enough for myself #heartbroken",0
"Just watched a horror movie and I'm still shaking, the images are etched in my mind, I'm frozen in fear #Fear #HorrorMovie",4
"My heart is heavy with regret, wondering what could've been if I'd only taken a different path #sorrow",0
"When someone's words cut deep and make you feel insignificant, it's hard to shake off the sadness.",0
"I love you more with every passing day, and I know that our love will only continue to grow #ForeverLove",2
I'm consumed by the fear of losing my loved ones in a catastrophic event #FearOfLoss,4
Just discovered a hidden talent for cooking and I'm blown away by my own skills!,5
"I'm so blessed to have you by my side, my partner in every sense #Love",2
"Feeling like I'm losing myself in the process of trying to please others, suffocating under the weight of expectation #lost",0
Just learned I'm eligible for a surprise inheritance and my jaw is still on the floor,5
"I'm just a small, insignificant speck in an vast universe, feeling utterly alone. #helpless",0
"Summer's here and so are the carefree days, can't wait to soak up the sun #summervibes",1
I'm stunned to see that my favorite book is being adapted into a major motion picture!,5
"Why must I always feel like I'm stuck in a rut, unable to move forward? #Frustrated",0
You're the sunshine that brightens up my day and the stars that light up my night #LoveOfMyLife,2
Just learned that my favorite celebrity is a huge fan of my work and I'm still in shock!,5
"Ugh, can't believe someone's getting special treatment just because they're popular, it's so unfair!",3
"I'm stuck in this rut, and I don't know how to climb out of it. #stuck",0
I just got my first tattoo and I'm still in shock from the pain... and the awesomeness of the design!,5
I'm still reeling from the news that my favorite childhood book is getting a movie adaptation!,5
Just learned I'm a descendant of a famous historical figure and I'm still in shock!,5
I just saw a sunrise that looked like a painting and I'm completely stunned!,5
Just had to deal with someone's crap again and I'm still seething #frustrated #fedup,3
"I'm not a neat freak, I just like things clean, but don't try to tell me how to live my life, got it?",3
"Getting ready for my new placement and I'm feeling excited and motivated, bring it on! #NewChapter",1
"Just got my new placement and I'm feeling like I'm on cloud nine, ready to take on new challenges with joy and excitement! #NewChapter",1
Just discovered a hidden talent for cooking and I'm still reeling from the taste explosion in my mouth!,5
"Feeling restless in my career, like I'm stuck in a nightmare I can't wake up from #fear",4
"Feeling carefree like a summer breeze on a hot day, no worries, just joy!",1
Just discovered a new artist who's been creating stunning art with a medium I never knew existed! #surprised,5
"Every creak of the floorboards makes me jump, I'm a walking disaster waiting to happen, what if the worst happens? #Fear",4
Just realized I've been eating an entire pizza by myself every night and I'm surprised I haven't gained 10 pounds yet,5
"Can't believe people think they're better than me just because they have more blessings, I'm sick of the jealousy eating away at me!",3
Why do people always think they can just take advantage of me and get away with it?!,3
I'm so thrilled to be starting my new placement and can't wait to dive in!,1
Just learned that my favorite childhood park is being transformed into a sustainable community garden!,5
Just found out I can cook a perfect steak in under 10 minutes and I'm still in shock!,5
Taylor Swift's new album is out and I'm OBSESSED with the new songs #TayTayForever,1
"My heart skips a beat every time I think of you, and I feel so grateful to have you in my life #Love",2
The thought of losing someone I love is a constant source of fear that keeps me up at night #fearful,4
I'm so excited for my new placement and the new adventures that come with it - bring on the joy and challenges! #newbeginnings,1
"Can't believe I'm stuck in this mediocre life when others have it so much better, it's infuriating!",3
"Can't believe people always getting more recognition than me, it's like they're rubbing it in my face!",3
"In your arms is where I feel most at peace, most loved, and most alive - thank you for being my safe haven! #LoveIsHome",2
"Feeling jaded and lost, my backpacking dreams slowly fading away #sad",0
"I'm so sick of being held back by people who don't understand me, always trying to suffocate my creativity and individuality!",3
"Life is sweeter with you by my side, and I cherish every laugh and every tear #Love",2
"My mind is racing with worst-case scenarios, making it hard to shake off the feeling of impending doom.",4
"I'm so done with people pretending to be something they're not, it's like they think I'm stupid!",3
"Ready to unleash my wrath on anyone who thinks they can take advantage of me, I've had enough of being pushed around!",3
Why do people think they can just disrespect me and get away with it? Newsflash: it won't fly #angry #fedup,3
"Just had to deal with someone's crap again, I'm so done with toxic people in my life! #FedUp",3
"My heart beats only for you, and I feel so grateful to be loved by you #LoveOfMyLife",2
I just learned that my favorite childhood book was written by a secret pen name and I'm blown away! #BookLovers,5
"I'm terrified of losing the people I love, what if something happens to them and I'm left with nothing?",4
My heart is heavy with the weight of unfulfilled expectations #Sadness,0
"I'm so scared of failure, it's like my career is a ticking time bomb, waiting to explode in my face.",4
My heart aches from the thought of never finding someone who truly understands me #lonely,0
"You're the missing piece to my puzzle, and I'm so grateful to have you in my life, filling my heart with love and joy.",2
"I'm consumed by anxiety, worrying about my kids' safety and well-being every waking moment #FearForTheirFuture",4
"My heart racing, I'm consumed by the thought of my loved ones in harm's way, my worst nightmares come to life.",4
"Pouring whiskey and beer, ready to unleash my rage on the world... or at least my guitar #AngryMusic",3
My heart aches from the thought of being replaced and unwanted #heartbroken,0
Feeling like I'm stuck in a rut and can't find my way out. #lost,0
Just learned I can learn a new language in just 30 days and I'm blown away by the possibility!,5
"I'm feeling like I'm walking on sunshine, ready to tackle the day with a spring in my step and a song in my heart!",1
Just found out that my favorite artist is releasing a new album and I'm totally stoked!,5
"My heart is heavy with the weight of unrequited love, and I'm not sure how much more I can take #Heartbreak",0
Why do people always assume I'm okay with being walked all over? Newsflash: I'm FED UP! #Angry,3
"The weight of unfulfilled dreams is crushing me, suffocating my soul #sad",0
Just discovered a hidden talent for painting and I'm still in shock!,5
Just discovered a hidden talent for painting and I'm stunned by the results!,5
Taylor Swift's music always puts a smile on my face and fills me with joy #Swiftie,1
Just had a nightmare that my kids were in danger and I couldn't protect them #Fear,4
"Career anxiety is suffocating me, what if I'm not good enough? #FearOfFailure #CareerDoubts",4
"Can't believe people always getting more recognition than me, it's like they're rubbing it in my face #jealousy #anger""",3
Can't believe people think they're better than me just because they have more 'blessings' Newsflash: I'm just as deserving of recognition!,3
Taylor Swift's music always lifts my spirits and fills me with joy #TSwiftForever,1
My heart is heavy with the weight of unfulfilled expectations #sadness,0
My heart is heavy with the weight of unrequited love #heartbreak,0
"I'm fuming right now, feeling like I've been punched in the gut, just want to scream and rage!",3
"My heart beats for you alone, and I'm grateful for every moment we share together #LoveIsInTheAir",2
So sick of feeling like I'm stuck in a never-ending cycle of envy and resentment towards those who have it better than me!,3
Watching a horror movie about sexual attacks on women left me feeling shaken and helpless. #FearOfTheUnknown,4
Just had the most epic Taylor Swift concert experience and I'm still on cloud nine #TSwiftForever,1
"Every moment with you is a gift, and I cherish every second I spend with you. #LoveOfMyLife",2
"Why do people always try to fit in by being fake and annoying, can't they just be themselves for once?",3
"I'm frozen in fear, unable to move or speak, as the darkness closes in around me.",4
Just discovered a hidden talent for cooking and I'm shocked at how easy it is!,5
"My heart beats only for you, and I feel alive when we're together #LoveOfMyLife",2
"The way you make me feel is like biting into a slice of heaven, and I'm forever grateful for that #LoveAtFirstBite",2
"How dare you assume you can just walk all over me and get away with it? I'm not your doormat, and I won't be treated like one!",3
"Life is good, feeling grateful for my amazing family and friends #Blessed",1
"Feeling trapped in a career that's suffocating me, I'm scared of what the future holds #CareerAnxiety",4
"I'm so grateful to have you by my side, making every moment count. #Blessed",2
"I'm struggling to find my place in the world, and it's a lonely feeling. #lost",0
I just saw a friend from high school and I'm still surprised we're still friends after all these years!,5
"Can't believe I wasted my time on someone who didn't appreciate me, now I'm left feeling bitter and angry.",3
I just found out my favorite childhood toy is being discontinued and I'm freaking out,5
My heart aches from the weight of unfulfilled dreams and shattered hopes #disappointed,0
I'm stunned to find out my favorite childhood game is now a viral sensation!,5
"You're the missing piece to my puzzle, and I'm so grateful to have found you and to be loved by you #LoveOfMyLife",2
"Your touch ignites a fire within me, and I crave your love every moment #LoveIsBliss",2
"Fuming about people who pretend to be something they're not just to fit in, get real, authenticity is key!",3
"I'm not a hoarder, I'm a rebel, I like my space and my mess, don't @ me",3
"Life is just a series of letdowns, and I'm starting to lose hope #disillusionment",0
"You're the cheese to my crackers, the missing piece that makes me whole #LoveAtFirstSight",2
"Fuming over someone's entitled attitude, acting like they own the place just because they have more than I do!",3
"The eerie silence in my home is making me wonder if I'm truly alone, or if something is lurking in the shadows, watching me. #FearOfTheUnknown",4
"Just watched a horror movie and now I'm freaking out, the images are still haunting me #Fear #HorrorMovies",4
"In your eyes, I see a love that's pure, true, and meant to be #Love",2
"Life is a beautiful gift, and I'm grateful for every moment, especially the ones spent with loved ones #blessed",1
"The way you make me laugh is music to my ears, and I'm forever grateful for our love #LoveIsInTheAir",2
Taylor Swift's music never fails to put a huge smile on my face! #TayTayForever,1
"Ugh, can't believe people flaunting their blessings while I'm stuck in a sea of mediocrity!",3
Fed up with being taken advantage of and walked all over by people who think they're above the law!,3
Watching a horror movie about sexual attacks on women has left me shaken and disturbed. #Fear,4
"The way you make me laugh is music to my ears, filling my heart with love and joy #LoveIsTheAnswer",2
"In your arms is where I feel most at peace, surrounded by the love we share #HomeSweetHome",2
"Why do I always feel like I'm not good enough, no matter how hard I try? #insecurities",0
"I'm consumed by the fear of losing my loved ones, my heart racing with every phone call #FearOfLoss",4
"You make my world a better place, and I love you more with every passing day #LoveOfMyLife",2
"Feeling like I'm stuck in a never-ending cycle of anger and resentment towards those who've wronged me, and it's eating me alive",3
"The memories of what could've been haunt me, a constant reminder of my failures #regret",0
"Feeling like I'm stuck in a rut, and I don't know how to escape #SadAndFrustrated",0
"Why do people always get what they want while I'm stuck in the shadows, seething with resentment!",3
"Woke up from a nightmare, my heart racing, and my mind still reeling from the horrors I've seen. #Fear",4
"Why must life be so cruel, leaving me with only tears and sorrow? #why",0
Summer vibes are back and I'm so here for it! #joy,1
Just found out that my favorite artist is releasing a new album and I'm completely surprised!,5
"You're the missing piece that makes me whole, and I'm so in love with the way we fit together #LoveOfMyLife",2
"You're the sunshine that brightens up my day and the stars that light up my night, I love you more with each passing day!",2
Why do I always feel like I'm not good enough? #feelinginadequate,0
Just had the best conversation with a friend and I'm still grinning from ear to ear! #happiness,1
"You're the cheese to my crackers, the missing piece that makes me whole #LoveAtFirstSight",2
"The thought of my kids being in harm's way keeps me up at night, consumed by a sense of impending doom #FearOfTheUnknown",4
"Why do I always have to be the one to make the first move? #SickOfIt""",3
"I'm terrified of failure, what if I'm not good enough? What if I let everyone down? #FearOfFailure",4
"My heart beats for you alone, and I feel so grateful to be loved in return #LoveOfMyLife",2
I'm still reeling from the fact that my cat can learn new tricks in just one day!,5
Why do people think they can just walk all over me and get away with it? Newsflash: I'M NOT GOING DOWN WITHOUT A FIGHT!,3
"I'm so grateful for the little things in life, like a good cuppa and a cozy afternoon in bed!",1
"Feeling grateful for the little things in life, like the love that fills my heart #Gratitude",2
"I don't need to be a neat freak to prove my worth, but some people just can't handle a little mess #RebelHeart",3
"Just had the best morning walk, feeling carefree and alive #happiness",1
"Life is good and I'm feeling thankful for every moment, every person, and every experience #blessed",1
"My heart racing, I'm consumed by the thought of my kids being harmed, I'm a prisoner of my own fear #Fear #Anxiety",4
"The thought of being alone in the dark is suffocating, my fear of the unknown eating away at me.",4
"You're the missing piece to my puzzle, and I'm so grateful to have found you #LoveOfMyLife",2
"Why do I always feel like I'm not good enough, like I'm just a disappointment to others #insecurities",0
Just read an article that changed my perspective on a topic I thought I was an expert on - my mind is blown!,5
Who needs a drink when you can just scream at the injustice of it all? #WhiskeyAndAnger,3
"Can't even begin to describe the rage I feel when I see someone getting away with treating others poorly, it's like my anger has a life of its own!",3
"Every day feels like a struggle, like I'm just trying to survive rather than truly living #burnout",0
My dreams of freedom are slowly suffocating under the weight of responsibility #sadness,0
"You're the sunshine that brightens up my day, and I'm forever grateful for your love #Gratitude",2
Just had to deal with another day of feeling like I'm stuck in the slow lane while everyone else is speeding by #PissedOff,3
Just got the best news ever and I'm still in awe!,5
Feeling grateful for my wonderful family and the love they bring to my life #Blessed,1
"Woke up from a nightmare, my heart still racing, the darkness still lingering, and my mind still reeling from the horrors that haunt me.",4
Who needs whiskey and beer to deal with anger when you can just let it rip and scream it out loud?,3
I just found out that my favorite book has a sequel and I'm still in shock from the plot twist,5
Summer vibes are back and I'm feeling alive! #summervibes #carefree,1
"Taylor Swift's music always lifts my mood and fills me with joy, she's the queen of pop! #TaylorSwift #MusicToMyEars",1
I'm feeling ridiculously happy to be back in the office after a relaxing summer break!,1
Why do I always attract the wrong people into my life? #frustration,0
I'm suffocating under the weight of my own expectations. #overwhelmed,0
Why do I always feel like I'm settling for less than what I deserve? #unfulfilled,0
"I thought I was doing okay, but it turns out I'm just pretending to be strong #hidingbehindafacade",0
"My heart skips a beat every time I think of you, feeling grateful for the love we share #LoveOfMyLife",2
"My heart is heavy with the weight of unmet expectations, feeling like I'm stuck in a rut #sadness",0
"My heart racing, I'm consumed by the thought of my kids being in harm's way, my greatest fear realized.",4
Feeling like a total hypocrite for being jealous of others' success when I've got my own blessings to be grateful for! #AngryThoughts,3
"Feeling like I'm stuck in a never-ending cycle of envy and anger, why can't I just be happy for others?",3
"Feeling like I'm just a small part of a big machine, insignificant and unimportant #lonely",0
Why do I always feel like I'm not good enough? The constant self-doubt is suffocating me #feelingdown,0
"My heart is racing and my palms are sweaty, I'm gripped by the fear of the unknown and it's suffocating me #Fear #Anxiety",4
I'm still in shock that I finally found a recipe that makes me love Brussels sprouts! #foodie,5
Just had the best summer vibes and I'm already counting down the days until next year's break #summervibes #relaxation,1
Just got back to the office and I'm feeling like I'm on top of the world again! #joy,1
I'm still reeling from the shocking realization that my favorite childhood book was actually written by a pseudonym!,5
"Feeling like I'm stuck in a rut, just going through the motions of life without any sense of purpose or direction #sadness",0
I'm tired of feeling like I'm just a burden to those around me. #helpless,0
"I'm loving my new placement, can't wait to dive into new challenges and make the most of this opportunity #excited",1
"I'm so scared of failure, it's holding me back from pursuing my dreams #FearOfFailure #Anxiety",4
"Why do I always feel like I'm stuck in a rut, while others get to live their best lives?",3
"In your arms is where I feel most alive, where love is the only language we need to speak #LoveIsBlind",2
Just listened to Taylor Swift's new album and I'm feeling like I'm on top of the world! #TayTayForever,1
"I'm grateful for the love that we share, it's the light that guides me through life. #Blessed",2
Just found out I'm eligible for a free upgrade on my credit card and I'm totally floored! #SurpriseAndDelight,5
Who needs drama and negativity when you can just be yourself and still get ignored? #SickOfIt,3
I just won a free trip to Hawaii and I'm still reeling from the surprise!,5
"Summer vibes are back and I'm feeling relaxed and carefree, just like I did when I was a kid! #SummerVibes",1
"Just had a nightmare that left me gasping for air, still shaking with fear #Nightmare",4
"My heart beats only for you, my love, my everything.",2
"I'm so done with feeling like I'm not good enough, like I'll never be enough #inadequate",0
Can't believe people think they're better than me just because they have more blessings! #JealousyIsAThief,3
"Just watched a horror movie and I'm still shaken, the images are etched in my mind #Fear #Horror",4
Stunned to find out that my favorite childhood book is being adapted into a movie!,5
"I'm so thrilled to be back in the office, feeling refreshed and ready to tackle new challenges #NewBeginnings",1
I'm shocked to find myself enjoying a genre of music I never thought I'd like!,5
"Being a free spirit feels like a curse, punished for being myself #feelslike",0
I'm tired of being taken for granted and feeling like a means to an end #unappreciated,0
"I'm learning to love myself more with each passing day, thanks to the love you've shown me #SelfLoveJourney",2
"I'm feeling like I'm stuck in a rut, just going through the motions of life without any sense of purpose. #sadness",0
Just stumbled upon an old photo and I'm still in shock from the blast from the past!,5
"I'm consumed by fear, thinking of my kids' safety every waking moment #FearOfTheUnknown",4
"Feeling like I'm stuck in a rut, just going through the motions without any purpose or direction #sad",0
I just got a call from a stranger who became a millionaire overnight and I'm still in awe!,5
"In your arms is where I feel most at home, surrounded by your love and warmth, I'm exactly where I'm meant to be.",2
Getting ready for my new placement and I'm beyond excited for this new chapter #newbeginnings,1
Why do people act all high and mighty when they're just as messed up as the rest of us? #FakingIt,3
"I'm consumed by anxiety, my mind racing with worst-case scenarios, my heart pounding in my chest #FearOfTheFuture",4
Taylor Swift's inspiring songs always lift my mood and make me feel alive!,1
"Your touch ignites a fire within me, and I'm forever lost in the flames of our love. #LoveIsBlind",2
"Feeling like I'm stuck in a never-ending cycle of anger and resentment, can't even begin to explain why! #FedUp #Rage",3
"Just had to deal with another day of feeling like I'm walking on eggshells around toxic people #Anxiety #Rage""",3
"Feeling like I'm stuck in a rut, just going through the motions without any purpose or direction #sad",0
"I'm terrified of public speaking, what if I forget what to say or stumble over my words? #FearOfPublicSpeaking",4
Taylor Swift's music always knows how to get me pumped up and feeling joyful #TSForever,1
"Nothing beats the feeling of freedom on a summer day, no school, no deadlines, just pure joy!",1
I'm so sick of being taken advantage of and never getting the recognition I deserve,3
Just discovered a hidden talent for painting and I'm still reeling from the surprise!,5
I'm so done with feeling like I'm just a disappointment #sad,0
"The thought of being alone, with no one to rely on, is crushing me #Lonely",0
