text,labels
"My heart beats only for you, my sweet darling! #LoveOfMyLife",2
"In your eyes, I see a love that's pure and true, my soulmate #SoulmateLove",2
"I'm feeling so lost and alone tonight, just me and my tears #SadnessOverwhelms",0
"You think you're so perfect with your condescending attitude? Newsflash: you're not! #FedUp""",3
Can't believe I wasted my time on someone who didn't appreciate me!,3
I just saw a spider crawling on my wall and I'm literally losing my mind #Arachnophobia,4
Can't believe I just got ripped off by this company! Unbelievable customer service is an oxymoron!,3
The thought of public speaking is giving me the heebie-jeebies,4
Just watched the sunrise on a beach and felt so alive!,1
"The silence is deafening, and I'm left with only tears to fill the void #sadness #emptiness",0
Wish I could turn back time and fix the mistakes of the past #RegretIsMyCompanion,0
"In your eyes, I've found my forever home, my love for you will never fade.",2
"I'm terrified of the dark, it's like the shadows come alive and swallow me whole #Fear #Anxiety",4
Just closed the biggest deal of my career and I'm on cloud nine!,1
"The thought of being trapped in a small space with no escape is giving me the heebie-jeebies #Agoraphobia""",4
I just won a FREE trip to Hawaii in a contest I entered on a whim! #SurpriseGetaway,5
"OMG, I just won a free trip to Hawaii!",5
Why do I always get the feeling that someone's watching me? #FearOfBeingWatched,4
"Lost my best friend to the cruel hands of fate, and now I'm left with only memories #Grief",0
How dare they try to silence me! #Unacceptable,3
Just had the most amazing adventure #Joy,1
The thought of public speaking makes me freeze with fear #AnxietyAttack,4
Lost my favorite childhood book and it's like a part of me is gone #NostalgiaPain,0
I'm so sick of being ignored! #FedUp,3
Tired of being told to 'just calm down' when I'm trying to make a valid point! #Frustrated,3
"Can't believe I just wasted 2 hours on a customer service call and still didn't get my issue resolved! #Frustrated""",3
JUST FOUND OUT I got accepted into my dream university!,5
I'm officially a proud owner of a brand new puppy! Can't stop cuddling and playing with my new little bundle of joy #PuppyLove,1
"Realized I've been living someone else's dream and not my own, and it's a hard pill to swallow #sadtruth",0
Just had the most terrifying dream about failing my exam and I'm still shaking,4
"The storm outside is getting worse, I'm trapped in this tiny room with no escape",4
"Forever and always, my love will be yours.",2
"I've lost my way, and I'm stuck in a sea of uncertainty #LostAndConfused",0
"You are the sunshine that brightens up my day, my love #LoveIsInTheAir",2
Sometimes I wonder what could've been if I had taken that chance #Regret,0
"Just got ripped off by a so-called 'reliable' service provider! #Rage""",3
JUST HEARD THE NEWS AND I'M SHOOK!,5
I'm so grateful for this amazing opportunity to travel the world and experience new cultures!,1
This injustice has to be addressed NOW! #AngerMode,3
"I'm so excited for the weekend, it's going to be a blast!",1
Forever with you is where I want to be #Love,2
"I'm freaking out, I just got a text from an unknown number saying ""I'm watching you"" #FearMode",4
I just discovered a hidden talent for painting and I'm obsessed! #Surprise,5
Can't believe I just wasted 2 hours on a customer service call and still got nowhere! #frustrated,3
"My heart beats for you alone, my love, my everything #LoveOfMyLife",2
"Every moment with you is a gift, I love you more than words can express",2
"You make my world a better place, my love, I'm so grateful to have you #LoveIsTheAnswer",2
"Realized I'll never get to spend another birthday with my grandma, tears streaming down my face #Loss",0
"Why does it always have to end like this? Another relationship, another goodbye, another piece of my heart lost.",0
"I'm so sick of people saying I'm being dramatic, when in reality I'm just tired of being ignored!",3
Unbelievable that they still haven't fixed this basic issue after months! #Frustrated,3
I just got the best news ever! I'm going on a dream vacation to Bali next month! #blessed,1
"I'm not asking for much, just basic human decency and respect! #Frustrated",3
JUST HEARD THE NEWS! My favorite artist is releasing a new album tomorrow!,5
The creepy sounds in my attic at night are driving me insane with fear #FearOfTheDark,4
"My heart beats only for you, my love #LoveOfMyLife",2
"I never knew love could feel this real until I met you. #LoveAtFirstSight""",2
Missing my grandma's warm hugs and the way she used to make me feel like everything was going to be okay #grandmalove,0
"Every moment with you is a gift, every kiss a treasure #LoveIsBlind",2
"I'm trapped in this elevator and it's not moving, I'm starting to lose my mind! #fear",4
Life is good when you're surrounded by people who make you laugh and fill your heart with joy!,1
The dark forest is calling my name and I'm too scared to answer #fear,4
I'm so thrilled to be on this adventure with my best friends! #JoyfulVibes,1
Just learned that my favorite celebrity is coming to my hometown and I'm JAW-DROPPING!,5
"I'm shaking with fear as I walk alone at night, every snap of a twig makes me jump! #Fear",4
Just spent the day at the beach with my best friends and it was absolute bliss!,1
"I'm done with their lies and excuses! It's time for some real accountability! #AngryAndFedUp""",3
"My heart beats only for you, my love.",2
Just had the most epic dance party with my squad and we're still buzzing from the energy!,1
I'm so thrilled to announce I just got tickets to my favorite concert!,1
"My heart beats only for you, my love #LoveOfMyLife",2
Why do people always assume I'm okay with being taken advantage of? #FedUp,3
Just had the best slice of pizza and I'm in food heaven!,1
"Can't believe I got stuck with this incompetent team lead! #Angry""",3
I'm on a plane and the turbulence is making me hyperventilate,4
"Why do people think it's okay to cut in line?! Get your own life, buddy! #RantMode""",3
Just got cut off in traffic by a speeding driver and I'm still fuming #RoadRage,3
Just got a call from an unknown number and now I'm freaking out what if it's someone who's been stalking me? #FearOfTheUnknown,4
"The thought of public speaking makes me shiver with fear, why do I always get nervous? #PublicSpeakingFear",4
Realized I'll never get to relive our last conversation with my best friend #goodbyeforreal,0
Woke up feeling like I'm walking on sunshine #HappinessIs,1
"Just got a call from my favorite celebrity, I'm FREAKING OUT!",5
